KGSO	PIEDMONT TRIAD INTERNATIONAL  AIRPORT 	NC	36-06N	079-57W
KRMG	ROME R. B. RUSSELL AIRPORT	GA	34-21N	085-10W
KHSV	HUNTSVILLE INTERNATIONAL  JONES FIELD	AL	34-39N	086-47W
KCHA	LOVELL FIELD	TN	35-02N	085-12W
KTYS	MCGHEE TYSON AIRPORT	TN	35-49N	083-59W
KBNA	NASHVILLE INTERNATIONAL  AIRPORT	TN	36-07N	086-41W
KTUP	TUPELO REGIONAL AIRPORT	MS	34-16N	88-46W
KMEM	MEMPHIS INTERNATIONAL AIRPORT 	TN	35-02N	089-59W
KLZK	North Little Rock, North Little Rock Airport	AR	34-50N	092-15W
KRUE	RUSSELVILLE MUNICIPAL AIRPORT 	AR	35-15N	93-06W
KFSM	FORT SMITH REGIONAL AIRPORT	AR	35-20N	94-22W
KSPS	WICHITA FALLS SHEPPARD AFB	TX	33-59N	98-30W
KLTS	Altus Air Force Base	OK	34-39N	099-16W
KOKC	WILL ROGERS WORLD AIRPORT	OK	35-23N	97-36W
KTIK	Tinker Air Force Base	OK	35-25N	097-23W
KFSI	Fort Sill	OK	34-36N	098-24W
KTUL	TULSA INTERNATIONAL AIRPORT	OK	36-12N	95-53W
KOUN	Norman / Max Westheimer	OK	35-13N	097-27W
KCAO	CLAYTON MUNICIPAL AIRPARK	NM	36-27N	103-09W
KONM	Socorro Municipal	NM	34-01N	106-54W
KAMA	AMARILLO INTERNATIONAL  AIRPORT	TX	35-13N	101-43W
KEPZ	Santa Teresa	NM	31-52N	106-42W
KABQ	ALBUQUERQUE INTERNATIONAL  AIRPORT	NM	35-02N	106-36W
KIGM	KINGMAN AIRPORT	AZ	35-15N	113-56W
KPGA	PAGE MUNICIPAL AIRPORT	AZ	36-56N	111-27W
KINW	WINSLOW MUNICIPAL AIRPORT	AZ	35-02N	110-43W
KEDW	Edwards Air Force Base	CA	34-55N	117-54W
KPMD	PALMDALE PROD FLIGHT PLANT	CA	34-38N	118-05W
KSDB	SANDBERG	CA	34-45N	118-43W
KBFL	BAKERSFIELD MEADOWS FIELD	CA	35-26N	119-03W
KLAS	MCCARRAN INTERNATIONAL AIRPORT 	NV	36-07N	115-16W
KDRA	DESERT ROCK AIRPORT	NV	36-38N	116-02W
KFAT	FRESNO AIR TERMINAL	CA	36-47N	119-43W
K87Q	Point Piedras Blanca	CA	35-39-56N	121-17-05W
KNTD	NAWCWPNS POINT MUGU, CA	CA	34-07N	119-07W
KVBG	Lompoc, Vandenberg Air Force Base	CA	34-43-46N	120-34-36W
KSMX	SANTA MARIA PUBLIC AIRPORT	CA	34-54N	120-28W
KRIC	RICHMOND INTERNATIONAL  AIRPORT	VA	37-31N	077-19W
KWAL	WALLOPS FLIGHT FAC AIRPORT 	VA	37-56N	075-28W
KIAD	DULLES INTERNATIONAL AIRPORT	VA	38-56N	077-27W
KNHK	NAS PATUXENT RIVER MD	MD	38-18N	76-24W
KDCA	WASHINGTON NATIONAL AIRPORT 	VA	38-51N	077-02W
KBWI	BALTIMORE-WASHINGTON INTERNATIONAL 	MD	39-10N	076-41W
KACY	ATLANTIC CITY INTERNATIONAL	NJ	39-28N	74-35W
KPHL	PHILADELPHIA INTERNATIONAL  AIRPT	PA	39-52N	075-14W
KNEL	Lakehurst Naval Air Station	NJ	40-02N	074-19W
KLYH	LYNCHBURG REGIONAL AIRPORT	VA	37-19N	079-12W
KROA	ROANOKE REGIONAL AIRPORT	VA	37-19N	079-58W
KBKW	RALEIGH COUNTY MEM AIRPORT 	WV	37-48N	081-07W
KCRW	YEAGER AIRPORT	WV	38-22N	081-36W
KEKN	JENNINGS RANDOLPH FIELD	WV	38-53N	079-51W
KCVG	CINCINNATI/NORTHERN KY INTERNATIONAL 	KY	39-03N	084-40W
KLEX	LEXINGTON BLUE GRASS AIRPORT	KY	38-02N	084-36W
KSDF	STANDIFORD FIELD	KY	38-11N	085-44W
KFTK	Fort Knox	KY	37-54N	085-58W
KHTS	TRI-STATE AIRPORT	WV	38-22N	082-33W
KCMH	PORT COLUMBUS INTERNATIONAL  AIRPORT	OH	40-00N	82-53W
KDAY	COX DAYTON INTERNATIONAL	OH	39-54N	084-13W
KEVV	EVANSVILLE REGIONAL	IN	38-02N	087-32W
KSLO	Salem, Salem-Leckrone Airport	IL	38-38-34N	088-57-51W
KSTL	LAMBERT-ST LOUIS INTERNATIONAL  AIRPORT 	MO	38-45N	90-22W
KPAH	BARKLEY REGIONAL AIRPORT	KY	37-03N	088-46W
KIND	INDIANAPOLIS INTERNATIONAL  AIRPORT 	IN	39-43N	86-17W
KSGF	SPRINGFIELD-BRANSON NATIONAL	MO	37-14N	93-23W
KCOU	COLUMBIA REGIONAL AIRPORT	MO	38-49N	092-13W
KMCI	KANSAS CITY INTERNATIONAL  AIRPORT	MO	39-18N	94-44W
KSTJ	ROSECRANS MEMORIAL AIRPORT	MO	39-46N	94-55W
KICT	WICHITA MID-CONTINENT AIRPORT 	KS	37-39N	97-26W
KDDC	DODGE CITY REGIONAL AIRPORT	KS	37-46N	99-58W
KP28	MEDICINE LODGE	KS	37-17N	098-33W
KFRI	Fort Riley, Marshall AAF Ft Riley	KS	39-03-20N	096-45-51W
KTOP	TOPEKA BILLARD MUNICIPAL AIRPORT	KS	39-04N	95-38W
KCNK	Concordia, Blosser Municipal Airport	KS	39-33-05N	097-39-02W
K1K5	Elkhart / Elkhart-Morton County Airport	KS	37-00N	101-53W
KALS	SAN LUIS VALLEY REGIONAL	CO	37-26N	105-52W
KPUB	PUEBLO MEMORIAL AIRPORT	CO	38-17N	104-30W
KGLD	GOODLAND RENNER FIELD	KS	39-22N	101-42W
KCOS	COLORADO SPRINGS MUNI	CO	38-49N	104-43W
KFCS	Fort Carson	CO	38-42N	104-46W
KDNR	Denver / Stapleton International, Co.	CO	39-47N	104-52W
KPUC	PRICE CARBON COUNTY AIRPORT	UT	39-37N	110-45W
KGJT	GRAND JUNCTION WALKER FIELD	CO	39-08N	108-32W
KBIH	BISHOP AIRPORT	CA	37-22N	118-22W
KMER	Merced / Castle Air Force Base	CA	37-22N	120-34W
KSAC	SACRAMENTO EXECUTIVE AIRPORT 	CA	38-30N	121-30W
KELY	ELY AIRPORT (YELLAND FIELD)	NV	39-18N	114-51W
KP38	Caliente	NV	37-36-44N	114-31-35W
KRNO	RENO/TAHOE INTERNATIONAL  AIRPORT	NV	39-29N	119-46W
KSCK	STOCKTON METROPOLITAN AIRPORT 	CA	37-54N	121-14W
KOAK	METRO OAKLAND INTERNATIONAL  AIRPORT 	CA	37-43N	122-14W
KSFO	SAN FRANCISCO INTERNATIONAL  AIRPORT 	CA	37-37N	122-22W
K50Q	Farallon Island	CA	37-42N	123-00W
KEWR	NEWARK INTERNATIONAL  AIRPORT	NJ	40-41N	74-10W
KLGA	NEW YORK LA GUARDIA AIRPORT 	NY	40-47N	73-53W
KBDR	SIKORSKY MEMORIAL AIRPORT	CT	41-10N	073-08W
KFMH	Otis Air National Guard Base	MA	41-39N	070-31W
KPVD	PROVIDENCE GREEN STATE AIRPORT 	RI	41-44N	071-26W
KBDL	BRADLEY INTERNATIONAL AIRPORT 	CT	41-56N	072-41W
KBOS	BOSTON LOGAN INTERNATIONAL	MA	42-22N	071-01W
KAVP	WILKES-BARRE/SCRANTON INTERNATIONAL 	PA	41-20N	75-44W
KIPT	WILLIAMSPORT-LYCOMING COUNTY	PA	41-15N	076-55W
KBGM	BINGHAMTON REGIONAL AIRPORT	NY	42-12N	75-59W
KABE	LEHIGH VALLEY INTERNATIONAL  AIRPORT	PA	40-39N	075-27W
KALB	ALBANY INTERNATIONAL AIRPORT	NY	42-45N	73-48W
KSYR	SYRACUSE HANCOCK INTERNATIONAL  AIRPORT 	NY	43-07N	76-06W
KPIT	GREATER PITTSBURGH INTERNATIONAL 	PA	40-29N	80-14W
KCAK	AKRON-CANTON REGIONAL AIRPORT 	OH	40-55N	081-27W
KCLE	CLEVELAND-HOPKINS INTERNATIONAL 	OH	41-24N	081-51W
KYNG	YOUNGSTOWN-WARREN REG AIRPRT	OH	41-15N	080-40W
KERI	ERIE INTERNATIONAL AIRPORT	PA	42-05N	080-11W
KBUF	GREATER BUFFALO INTERNATIONAL  AIRPORT 	NY	42-56N	078-44W
KROC	GREATER ROCHESTER INTERNATIONAL 	NY	43-07N	077-41W
KORD	CHICAGO O'HARE INTERNATIONAL	IL	41-59N	087-55W
KPIA	GREATER PEORIA REGIONAL AIRPORT 	IL	40-40N	89-41W
KFWA	FORT WAYNE INTERNATIONAL	IN	41-00N	85-12W
KMDW	CHICAGO MIDWAY AIRPORT	IL	41-47N	087-45W
KSBN	SOUTH BEND REGIONAL AIRPORT	IN	41-42N	086-19W
KTOL	TOLEDO EXPRESS AIRPORT	OH	41-35N	083-48W
KDTW	DETROIT METROPOLITAN	MI	42-14N	83-20W
KLAN	CAPITAL CITY AIRPORT	MI	42-47N	084-35W
KP35	Spickard	MO	40-15N	093-43W
KRFD	GREATER ROCKFORD AIRPORT	IL	42-12N	89-06W
KMLI	MOLINE QUAD-CITY AIRPORT	IL	41-27N	90-31W
KDSM	DES MOINES INTERNATIONAL	IA	41-32N	93-40W
KDBQ	DUBUQUE REGIONAL AIRPORT	IA	42-24N	90-42W
KALO	WATERLOO MUNICIPAL AIRPORT	IA	42-33N	92-24W
KFOD	Fort Dodge	IA	42-33N	094-11W
KOMA	OMAHA EPPLEY AIRFIELD	NE	41-18N	095-54W
KLNK	LINCOLN MUNICIPAL AIRPORT	NE	40-50N	96-46W
KGRI	CENTRAL NEBRASKA REGIONAL	NE	40-58N	98-19W
KOFF	Omaha / Offutt Air Force Base	NE	41-07N	095-54W
KOFK	KARL STEFAN MEMORIAL AIRPORT	NE	41-59N	097-26W
KSUX	SIOUX GATEWAY AIRPORT	IA	42-23N	96-23W
KOAX	Valley	NE	41-19N	096-22W
KSNY	SIDNEY MUNICIPAL AIRPORT	NE	41-06N	102-59W
KLBF	NORTH PLATTE REGIONAL AIRPORT 	NE	41-07N	100-40W
KCYS	CHEYENNE AIRPORT	WY	41-09N	104-48W
KDEN	DENVER INTERNATIONAL AIRPORT	CO	39-52N	104-40W
KBFF	SCOTTSBLUFF HEILIG FIELD	NE	41-52N	103-36W
KVTN	MILLER FIELD - VALENTINE, NE	NE	42-52N	100-33W
KDGW	DOUGLAS CONVERSE COUNTY	WY	42-48N	105-23W
KCPR	NATRONA COUNTY INTERNATIONAL  AIRPORT 	WY	42-54N	106-28W
KCAG	CRAIG MOFFAT AIRPORT	CO	40-30N	107-31W
KSLC	SALT LAKE CITY INTERNATIONAL  AIRPORT 	UT	40-47N	111-58W
KRKS	ROCK SPRINGS-SWEETWATER CO	WY	41-36N	109-03W
KOGD	OGDEN-HINCKLEY AIRPORT	UT	41-12N	112-01W
KLND	LANDER HUNT FIELD	WY	42-49N	108-44W
KPIH	POCATELLO REGIONAL AIRPORT	ID	42-55N	112-36W
KENV	Wendover / Air Force Auxillary Field	UT	40-44N	114-02W
KWMC	WINNEMUCCA MUNICIPAL AIRPORT	NV	40-54N	117-48W
KO64	Fort Bragg	CA	39-24N	123-49W
KRBL	RED BLUFF MUNICIPAL AIRPORT	CA	40-09N	122-15W
KRDD	REDDING MUNICIPAL AIRPORT	CA	40-30N	122-17W
KEKA	Eureka	CA	40-48N	124-10W
KMFR	ROGUE VALLEY INTERNATIONAL  AIRPORT	OR	42-23N	122-53W
KCON	Concord, Concord Municipal Airport	NH	43-11-43N	071-30-04W
KPWM	PORTLAND INTERNATIONAL  JETPORT	ME	43-39N	70-18W
KEPO	Eastport	ME	44-55N	067-00W
K9B2	Newport	VT	44-56N	072-12W
KMWN	Mount Washington	NH	44-16N	071-18W
K1V4	ST JOHNSBURY FAIRBANKS	VT	44-25N	072-01W
KBML	BERLIN MUNICIPAL AIRPORT	NH	44-35N	71-11W
KBTV	BURLINGTON INTERNATIONAL	VT	44-28N	73-09W
KRUM	Rumford	ME	44-32N	070-32W
KGRR	GERALD R. FORD INTERNATIONAL	MI	42-53N	085-31W
KMKG	MUSKEGON COUNTY AIRPORT	MI	43-10N	086-14W
KFNT	FLINT BISHOP INTERNATIONAL  AIRPORT	MI	42-58N	83-45W
KHTL	ROSCOMMON COUNTY AIRPORT	MI	44-21N	084-40W
KAPN	ALPENA COUNTY REGIONAL AIRPORT	MI	45-05N	083-34W
KMKE	GEN MITCHELL INTERNATIONAL  AIRPORT	WI	42-57N	87-54W
KMSN	MADISON DANE COUNTY RGNL	WI	43-08N	89-21W
KLSE	LA CROSSE MUNICIPAL AIRPORT 	WI	43-53N	091-15W
KRST	ROCHESTER INTERNATIONAL AIRPORT 	MN	43-54N	092-30W
KGRB	AUSTIN STRAUBEL INTERNATIONAL  AIRPORT 	WI	44-29N	088-08W
KESC	Escanaba	MI	45-45N	087-02W
KFSD	SIOUX FALLS FOSS FIELD	SD	43-35N	096-45W
K9V9	CHAMBERLAIN MUNICIPAL AIRPORT	SD	43-46N	099-19W
KHON	HURON REGIONAL AIRPORT	SD	44-23N	098-14W
KSFD	Winner, Bob Wiley Field Airport	SD	43-23-26N	099-50-33W
KMSP	MINNEAPOLIS-ST PAUL INTERNATIONAL 	MN	44-52N	93-13W
